File: pipe-reader
Type: cpu
Time: Dec 5, 2018 at 9:05pm (CET)
Duration: 21.72s, Total samples = 34.87s (160.56%)
Showing nodes accounting for 33.04s, 94.75% of 34.87s total
Dropped 95 nodes (cum <= 0.17s)
      flat  flat%   sum%        cum   cum%
         0     0% 94.75%      2.12s  6.08%  runtime.notetsleep_internal
         0     0% 94.75%      4.55s 13.05%  runtime.notewakeup
         0     0% 94.75%      2.12s  6.08%  runtime.osyield
         0     0% 94.75%      7.85s 22.51%  runtime.park_m
         0     0% 94.75%      0.24s  0.69%  runtime.profilealloc
         0     0% 94.75%      0.48s  1.38%  runtime.resetspinning
         0     0% 94.75%      1.45s  4.16%  runtime.runSafePointFn
         0     0% 94.75%      1.08s  3.10%  runtime.scang
         0     0% 94.75%      1.08s  3.10%  runtime.scanstack
         0     0% 94.75%      0.35s  1.00%  runtime.scanstack.func1
         0     0% 94.75%      9.60s 27.53%  runtime.semasleep
         0     0% 94.75%      4.63s 13.28%  runtime.semawakeup
         0     0% 94.75%     10.12s 29.02%  runtime.startTheWorldWithSema
         0     0% 94.75%      0.63s  1.81%  runtime.startm
         0     0% 94.75%      0.20s  0.57%  runtime.stopTheWorldWithSema
         0     0% 94.75%      1.68s  4.82%  runtime.sysmon
         0     0% 94.75%     21.28s 61.03%  runtime.systemstack
         0     0% 94.75%      0.63s  1.81%  runtime.wakep
         0     0% 94.75%      0.34s  0.98%  runtime.wbBufFlush
         0     0% 94.75%      0.34s  0.98%  runtime.wbBufFlush.func1
